index,date of death,name,age,bio,cause of death,Unnamed: 5,Unnamed: 6
3606,2016-07-09,Sydney Schanberg,82,"American journalist (The New York Times), winner of the Pulitzer Prize for International Reporting (1976)",,,
3607,2016-07-09,Bill Guilfoile,84,"American public relations executive (Baseball Hall of Fame, New York Yankees, Pittsburgh Pirates).",,,
3608,2016-07-09,Frank Johnson,84,"Australian footballer (Port Melbourne, South Melbourne)",,,
3609,2016-07-09,Judy Canty,84,Australian Olympic long jumper (1948).,,,
3610,2016-07-09,Erny Brenner,84,Luxembourgian footballer.,,,
3611,2016-07-09,Hugo Niebeling,85,German filmmaker (Alvorada).,,,
3612,2016-07-09,Lothar Dräger,89,German comic writer.,,,
3613,2016-07-09,Kalle Havulinna,91,Finnish ice hockey player (Ilves).,,,
3614,2016-07-09,Norman Abbott,93,"American television director (Leave It to Beaver, Welcome Back, Kotter, The Jack Benny Program).",,,
3615,2016-07-09,Johnny Barnes,93,Bermudian entertainer.,,,
3616,2016-07-09,Fritzi Schwingl,94,"Austrian slalom and sprint canoeist, world champion (1949, 1951, 1953) Olympic bronze medalist (1948).",,,
3617,2016-07-09,Gladys Hooper,113,"English supercentenarian, nation's oldest living person",,,
3618,2016-07-10,Abu Omar al-Shishani,30,Soviet-born Georgian ISIS militant, airstrike,,
3619,2016-07-10,Kem Ley,45,Cambodian political analyst, shot,,
3620,2016-07-10,Ye Xuanning,77,Chinese politician.,,,
3621,2016-07-10,James Pazhayattil,81,Indian Syro-Malabar Catholic hierarch,,,
3622,2016-07-10,Katharina Focke,93,German politician.,,,
3623,2016-07-10,Mark Ouma,55,Ugandan sports journalist.,,,
3624,2016-07-10,David Stride,58,English footballer (Chelsea).,,,
3625,2016-07-10,Atilla Manizade,82,Turkish opera singer.,,,
3626,2016-07-10,Adrian Monger,83,"Australian rower, Olympic bronze medalist (1956)",,,
3627,2016-07-10,Anatoli Isayev,83,"Russian football player and manager, Olympic champion (1956)",,,
3628,2016-07-10,Amal Dutta,86,Indian football player and manager.,,,
3629,2016-07-10,Salien Medhi,87,Indian lawyer and politician.,,,
3630,2016-07-10,Ed Ware,88,American district attorney.,,,
3631,2016-07-10,Harry Wade,88,Canadian Olympic basketball player (1952).,,,
3632,2016-07-10,Alfred G. Knudson,93,American geneticist.,,,
3633,2016-07-10,Fida Hassnain,93,Indian historian.,,,
3634,2016-07-10,Robert E. Cooper Sr.,95,"American judge, member of the Tennessee Supreme Court (1974–1990) and Court of Appeals (1960–1974)",,,
3635,2016-07-10,John Drysdale,,"British-born Somaliland diplomat,, historian, and writer, founder of the Africa Research Bulletin.,",,,
3636,2016-07-11,Emma Cohen,69,"Spanish actress (The Glass Ceiling, Voyage to Nowhere, The Grandfather)", cancer,,
3637,2016-07-11,Jim Metzen,72,"American politician, member (since 1987) and President (2003–2011) of the Minnesota Senate, and House of Representatives (1975–1987)", lung cancer,,
3638,2016-07-11,Sir Frederick Smith,92,"Barbadian barrister and politician, Attorney-General of Barbados (1966–1971)",,,
3639,2016-07-11,Corrado Farina,77,"Italian film director, screenwriter and novelist (Baba Yaga)",,,
3640,2016-07-11,Elaine Fantham,83,British classicist.,,,
3641,2016-07-11,Edmond L. Browning,87,"American Episcopal bishop, 24th Presiding Bishop of the Episcopal Church (1985–1997)",,,
3642,2016-07-11,Minerva Herrera,87,Cuban folk singer.,,,
3643,2016-07-11,John Brademas,89,"American politician and educator, member of the US House of Representatives for Indiana's 3rd district (1959–1981), President of NYU (1981–1991).",,,
3644,2016-07-11,Jusztin Nándor Takács,89,Hungarian Roman Catholic prelate,,,
3645,2016-07-11,Kurt Svensson,89,"Swedish footballer, World Cup bronze medalist (1950)",,,
3646,2016-07-11,Scott Olin Wright,93,"American judge, member of the US District Court for Western Missouri (since 1979)",,,
3647,2016-07-11,Robert Mason Pollock,99,"American screenwriter (Dynasty, The Colbys)",,,
3648,2016-07-12,Kyosen Ōhashi,82,Japanese television host and politician, acute respiratory failure,,
3649,2016-07-12,Goran Hadžić,57,"Serbian politician, President of Krajina (1992–1994)", brain cancer,,
3650,2016-07-12,Kenny Kramm,55,"American pharmacist, founded FLAVORx", sepsis,,
3651,2016-07-12,Lorenzo Amurri,45,Italian author.,,,
3652,2016-07-12,Peter Johnson,78,Australian rugby union player.,,,
3653,2016-07-12,Agha Nasir,79,Indian-born Pakistani broadcaster.,,,
3654,2016-07-12,Galina Chesnokova,82,"Russian Soviet-era volleyball player (national team), European champion (1963)",,,
3655,2016-07-12,Antonín Rükl,83,Czech astronomer.,,,
3656,2016-07-12,Joseph Antic,85,"Indian field hockey player, Olympic silver medalist (1960)",,,
3657,2016-07-12,Paul Wühr,89,German author (Das falsche Buch).,,,
3658,2016-07-12,Seamon Glass,90,"American actor (This Is Not a Test, Deliverance, Perry Mason).",,,
3659,2016-07-12,Karen Karnes,90,American ceramist.,,,
3660,2016-07-12,Alvera Mickelsen,97,"American academic and Christian woman's advocate, co-founder of Christians for Biblical Equality",,,
3661,2016-07-13,Carolyn See,82,American author (Golden Days), cancer,,
3662,2016-07-13,Bernardo Provenzano,83,"Italian criminal, head of the Corleonesi Mafia faction", complications from bladder cancer,,
3663,2016-07-13,Héctor Babenco,70,"Argentine-born Brazilian film director, producer and screenwriter (Kiss of the Spider Woman, Ironweed, Carandiru)", heart attack,,
3664,2016-07-13,Zygmunt Zimowski,67,"Polish Roman Catholic prelate, Bishop of Radom (2002–2009), President of the PCPCHCW (since 2009)", pancreatic cancer,,
3665,2016-07-13,Hafsa Mossi, 51-52,"Burundian politician, Minister of Regional Integration, member of the East African Legislative Assembly (since 2012)", shot,,
3666,2016-07-13,Claude Le Ber,85,French racing cyclist.,,,
3667,2016-07-13,Marion Campbell,87,"American football player and coach (Philadelphia Eagles, Atlanta Falcons)",,,
3668,2016-07-13,El Lebrijano,74,Spanish flamenco singer.,,,
3669,2016-07-13,Jim Carmichael,76,"American politician, member of the Ohio House of Representatives (2001–2008)",,,
3670,2016-07-13,Garry N. Drummond,78,"American coal executive, Chairman and CEO of Drummond Company",,,
3671,2016-07-13,William Norris III,79,"American jurist, judge of the Louisiana Court of Appeal for the Second Circuit (1981–2002)",,,
3672,2016-07-13,Jack Rogers,82,American Presbyterian minister and theologian.,,,
3673,2016-07-13,Hollis L. Harris,84,"American airline executive, CEO of Continental Airlines (1990–1991) and Air Canada (1992–1996), President of Delta Airlines (1987–1990).",,,
3674,2016-07-13,George Allen,84,English footballer (Birmingham City).,,,
3675,2016-07-13,Jack Riley,97,Canadian ice hockey player and executive (Pittsburgh Penguins).,,,
3676,2016-07-13,Robert Fano,98,Italian-born American computer scientist.,,,
3677,2016-07-13,Celso Peçanha,99,"Brazilian politician, Governor of Rio de Janeiro (1961–1962)",,,
3678,2016-07-14,Hallard White,87,"New Zealand rugby union player (Auckland, national team)", Alzheimer's disease,,
3679,2016-07-14,Michael J. Elliott,65,"British journalist and magazine editor (Time, Newsweek, The Economist)", cancer,,
3680,2016-07-14,Sharon Runner,62,"American politician, member of the California State Assembly (2002–2008) and Senate (2011–2012, 2015–2016)", complications from respiratory failure,,
3681,2016-07-14,Troy Mader,60,"American politician, member of the Wyoming House of Representatives (2014–2015)", fall from ATV,,
3682,2016-07-14,Eric Bergren,62,"American screenwriter (The Elephant Man, Frances)", liver cancer,,
3683,2016-07-14,Péter Esterházy,66,Hungarian author, pancreatic cancer,,
3684,2016-07-14,George Ramsay Cook,84,Canadian historian, pancreatic cancer,,
3685,2016-07-14,Roger Chanoine,39,"American football player (St. Louis Rams, Cleveland Browns, Jacksonville Jaguars)", pancreatic cancer,,
3686,2016-07-14,Mohamed Lahouaiej-Bouhlel,31,"Tunisian jihadist, perpetrator of 2016 Nice attack", shot,,
3687,2016-07-14,Athanasius Atule Usuh,67,Nigerian Roman Catholic prelate,,,
3688,2016-07-14,Mike Strahler,69,"American baseball player (Los Angeles Dodgers, Detroit Tigers)",,,
3689,2016-07-14,Neil Ferguson,70,Australian rules footballer.,,,
3690,2016-07-14,Tor Lian,71,"Norwegian sports official, president of the Norwegian Handball Federation (1985–1999)",,,
3691,2016-07-14,Miguel Gutiérrez,75,Peruvian writer.,,,
3692,2016-07-14,Lisa Gaye,81,"American actress, singer and dancer (Rock Around the Clock, Drums Across the River).",,,
3693,2016-07-14,Donald Stewart,87,"Australian judge, chairman of the National Crime Authority",,,
3694,2016-07-14,Atilio López,91,Paraguayan football player and coach.,,,
3695,2016-07-14,Helena Benitez,102,"Filipino politician and educator, Senator (1967–1972)",,,
3696,2016-07-15,Liu Yingming,75,"Chinese mathematician, educator and an academician of the Chinese Academy of Sciences", leukemia,,
3697,2016-07-15,Susan Renouf,74,Australian socialite, ovarian cancer,,
3698,2016-07-15,Karl E. Case,69,"American economist and academic, developed Case–Shiller index model", Parkinson's disease and multiple myeloma,,
3699,2016-07-15,Qandeel Baloch,26,Pakistani model and social media celebrity, strangled,,
3700,2016-07-15,Charles Davis,83,American jazz saxophonist.,,,
3701,2016-07-15,Howard Dawson,93,American judge.,,,
3702,2016-07-15,Sir Charles Soutar,96,British air marshal.,,,
3703,2016-07-15,Danny Nettey,41,Ghanaian musician and songwriter.,,,
3704,2016-07-15,Helen Bailey,51,British author. (body discovered on this date),,,
3705,2016-07-15,Billy Marshall Stoneking,68,"Australian poet, playwright, and filmmaker.",,,
3706,2016-07-15,Roland Prince,69,Antiguan jazz guitarist.,,,
3707,2016-07-15,"Peregrine Eliot, 10th Earl of St Germans",75,British aristocrat and festival founder.,,,
3708,2016-07-15,Charles Utete,77,"Zimbabwean academic, politician and presidential adviser",,,
3709,2016-07-15,Roger Fletcher,77,British mathematician. (body discovered on this date),,,
3710,2016-07-15,V.F. Perkins,79,British film critic.,,,
3711,2016-07-15,Frank Barnett,82,"American politician, Governor of American Samoa (1976–1977)",,,
3712,2016-07-15,Janez Bernik,82,Slovenian painter.,,,
3713,2016-07-15,Jérôme Owono-Mimboe,83,Cameroonian Roman Catholic prelate,,,
3714,2016-07-15,Petru Soltan,85,"Moldovan mathematician and politician, MP (1990–1994)",,,
3715,2016-07-15,Duncan M. Gray Jr.,89,American Episcopalian prelate,,,
3716,2016-07-16,Nate Thurmond,74,"American Hall of Fame basketball player (Golden State Warriors, Chicago Bulls, Cleveland Cavaliers)", leukemia,,
3717,2016-07-16,Bonnie Brown,77,American country singer (The Browns), lung cancer,,
3718,2016-07-16,Kazimieras Uoka,65,Lithuanian politician.,,,
3719,2016-07-16,Gordon Massa,80,American baseball player (Chicago Cubs).,,,
3720,2016-07-16,Claude Williamson,89,American jazz pianist.,,,
3721,2016-07-16,Thurston Twigg-Smith,94,American businessman and philanthropist.,,,
3722,2016-07-16,Oleg Syrokvashko,54,Belarusian football player and coach (Dinamo Brest).,,,
3723,2016-07-16,Carlos Nine,72,"Argentine illustrator, comics artist and screenwriter",,,
3724,2016-07-16,Alan Vega,78,American singer and musician (Suicide).,,,
3725,2016-07-16,Robert-Ralph Carmichael,79,Canadian artist and designer (Loonie).,,,
3726,2016-07-16,MA Mannan,84,Bangladeshi politician and neurologist.,,,
3727,2016-07-16,Hugo Rietveld,84,Dutch crystallographer.,,,
3728,2016-07-16,Kasam Bapu Tirmizi,86,"Indian politician, Gujarat MLA for Gandhinagar (1980–1990)",,,
3729,2016-07-16,Robert Burren Morgan,90,"American politician, member of the US Senate for North Carolina (1975–1981), N.C. Senate (1955–1969) and Attorney General (1969–1974).",,,
3730,2016-07-16,Pete Kapusta,92,Canadian ice hockey player (Providence Reds).,,,
3731,2016-07-16,E. C. Pielou,92,Canadian statistical ecologist.,,,
3732,2016-07-16,Francis M. Gibbons,95,American biographer and religious leader (LDS Church).,,,
3733,2016-07-16,Zalman Shapiro,96,"American chemist, a developer of the Nautilus nuclear-powered submarine.",,,
3734,2016-07-17,Wendell Anderson,83,"American politician, Governor of Minnesota (1971–1976), Senator for Minnesota (1976–1978), Olympic silver medalist in ice hockey (1956)", pneumonia,,
3735,2016-07-17,Achille Casanova,74,Swiss politician.,,,
3736,2016-07-17,Rafael Aguilar Talamantes,76,Mexican politician.,,,
3737,2016-07-17,Paul Johnson,81,"American ice hockey player, Olympic gold medalist (1960)",,,
3738,2016-07-17,Kenneth Earl Hurlburt,88,Canadian politician.,,,
3739,2016-07-17,Mel Durslag,95,American sportswriter.,,,
3740,2016-07-17,Andrzej Grabarczyk,52,Polish triple jumper.,,,
3741,2016-07-17,Aníbal José Chávez Frías,60,"Venezuelan politician, Mayor of Sabaneta (since 2004)",,,
3742,2016-07-17,Gary S. Paxton,77,"American record producer (""Monster Mash"") and singer-songwriter (Skip & Flip, The Hollywood Argyles)",,,
3743,2016-07-17,Sérgio Henrique Ferreira,82,Brazilian scientist.,,,
3744,2016-07-17,Fred Tomlinson,88,"British singer (The Two Ronnies, Monty Python's Flying Circus), composer (""The Lumberjack Song"") and critic.",,,
3745,2016-07-17,Michael Healy,92,British medical statistician.,,,
3746,2016-07-17,James E. Nugent,94,"American politician, Texas Railroad Commissioner",,,
3747,2016-07-17,Phyllis Ntantala-Jordan,96,South African political activist and author.,,,
3748,2016-07-17,Raymonde Tillon,100,"French politician, MP for Bouches-du-Rhône (1945–1951)",,,
3749,2016-07-18,Matilda Rapaport,30,Swedish alpine free-skier, avalanche,,
3750,2016-07-18,Billy Name,76,American photographer (Andy Warhol), heart failure,,
3751,2016-07-18,John Kerr,66,American editor and author (A Most Dangerous Method), lung cancer,,
3752,2016-07-18,Richard Budge,69,British businessman, prostate cancer,,
3753,2016-07-18,Abu Wardah,39,Indonesian militant leader (Mujahidin Indonesia Timur), shot by police,,
3754,2016-07-18,Heinz Lucas,95,German football player and manager.,,,
3755,2016-07-18,Nikolaus Messmer,61,"Kazakh-born Kyrgyz Roman Catholic prelate, Apostolic Administrator of Kyrgyzstan (since 2006)",,,
3756,2016-07-18,Agata Karczmarek,52,"Polish Olympic gymnast (1980) and long jumper (1988, 1992, 1996).",,,
3757,2016-07-18,Jeffrey Montgomery,63,American LGBT rights activist.,,,
3758,2016-07-18,John Hope,67,English footballer (Sheffield United).,,,
3759,2016-07-18,Mladen Stilinović,69,Croatian artist.,,,
3760,2016-07-18,Uri Coronel,69,Dutch sports director (Ajax Amsterdam).,,,
3761,2016-07-18,Les Stocker,73,"British wildlife expert, founder of Tiggywinkles",,,
3762,2016-07-18,James Kriel,74,South African air force general.,,,
3763,2016-07-18,Antony Copley,79,British historian.,,,
3764,2016-07-18,Mubarak Begum,80,Indian playback singer.,,,
3765,2016-07-18,Dolliver Nelson,84,"Grenadian jurist, President of the International Tribunal for the Law of the Sea (2002–2005)",,,
3766,2016-07-18,Aldo Monti,87,Mexican actor.,,,
3767,2016-07-18,Bloeme Evers-Emden,90,"Dutch teacher, child psychologist and Holocaust survivor",,,
3768,2016-07-18,Randolph George,92,Guyanese Anglican bishop.,,,
3769,2016-07-18,Manuel G. Batshaw,101,"Canadian social worker, founder of Batshaw Youth and Family Centres",,,
3770,2016-07-18,Medi Dinu,107,Romanian painter.,,,
3771,2016-07-19,Tamás Somló,68,"Hungarian musician and singer (Omega, Locomotiv GT)", cancer,,
3772,2016-07-19,Betsy Bloomingdale,93,American socialite and philanthropist, complications from a cardiac condition,,
3773,2016-07-19,Garry Marshall,81,"American director, producer, writer, and actor (Happy Days, Pretty Woman, Murphy Brown)", pneumonia,,
3774,2016-07-19,Bommi Baumann,68,German author and political activist.,,,
3775,2016-07-19,John Pidgeon,69,British broadcaster and writer.,,,
3776,2016-07-19,Tom McCready,72,Scottish footballer (Wimbledon F.C.).,,,
3777,2016-07-19,Chief Zee,75,American football mascot (Washington Redskins).,,,
3778,2016-07-19,Anthony D. Smith,76,British historical sociologist.,,,
3779,2016-07-19,Gordon Mowrer,80,"American politician, Mayor of Bethlehem, Pennsylvania (1974–1978, 1987).",,,
3780,2016-07-19,Dimitri,80,Swiss clown.,,,
3781,2016-07-19,Carmen Hernández,85,"Spanish catechist, co-founder of the Neocatechumenal Way",,,
3782,2016-07-19,Ray Bell,90,"New Zealand rugby union player (Otago, national team)",,,
3783,2016-07-19,Nev Hewitt,95,"Australian politician, Queensland MP for Mackenzie (1956–1972) and Auburn (1972–1980)",,,
3784,2016-07-19,Carlos Gorostiza,96,"Argentine playwright, theatre director and novelist",,,
3785,2016-07-20,Dominique Arnaud,60,French cyclist, cancer,,
3786,2016-07-20,Walid Juffali,61,Saudi billionaire businessman (E. A. Juffali and Brothers) and diplomat, cancer,,
3787,2016-07-20,Pavel Sheremet,44,Belarusian journalist, car bombing,,
3788,2016-07-20,Mohammed Shahid,56,"Indian field hockey player, Olympic champion (1980)", liver and kidney disease,,
3789,2016-07-20,Mark Takai,49,"American politician, member of the US House of Representatives for Hawaii's 1st district (since 2015) and the Hawaii House of Representatives (1994–2015)", pancreatic cancer,,
3790,2016-07-20,William Gaines,82,"American journalist (Chicago Tribune) and academic (University of Illinois), awarded Pulitzer Prize (1976, 1988)", Parkinson's disease,,
3791,2016-07-20,Jim Pressdee,83,Welsh cricketer (Glamorgan).,,,
3792,2016-07-20,James Allen Johnson,92,American army general.,,,
3793,2016-07-20,György Kéri,66,"Hungarian biochemist, Széchenyi Prize winner (2013)",,,
3794,2016-07-20,Dick Corballis,70,New Zealand English literature academic (Massey University).,,,
3795,2016-07-20,Ray Moreton,74,"New Zealand rugby union player (Southland, Canterbury, national team).",,,
3796,2016-07-20,André Isoir,81,French organist.,,,
3797,2016-07-20,Egon Matijevic,94,Croatian-born American chemist.,,,
3798,2016-07-20,Radu Beligan,97,"Romanian actor, director and essayist",,,
3799,2016-07-21,Taylor Terrell,24,American news anchor, accidental fall,,
3800,2016-07-21,Lewie Steinberg,82,American Hall of Fame bassist (Booker T. & the M.G.'s), cancer,,
3801,2016-07-21,Bill Cardille,87,"American television host (Chiller Theater, Night of the Living Dead, Studio Wrestling)", cancer,,
3802,2016-07-21,Dennis Green,67,"American football coach (Minnesota Vikings, Arizona Cardinals, Northwestern Wildcats)", cardiac arrest following a heart attack,,
3803,2016-07-21,Tsering Chungtak,31,"Tibetan beauty queen, Miss Tibet 2006", heart attack,,
3804,2016-07-21,Thomas R. McCarthy,82,American racehorse trainer and owner (General Quarters), melanoma,,
3805,2016-07-21,Meraj Muhammad Khan,77,Pakistani politician.,,,
3806,2016-07-21,Milford Burriss,79,American politician.,,,
3807,2016-07-21,Roger Godement,94,French mathematician.,,,
3808,2016-07-21,Jen Jacobs,60,Australian cricketer (national team).,,,
3809,2016-07-21,Des Rea,72,Northern Irish boxer.,,,
3810,2016-07-21,John Garton,74,British Anglican prelate,,,
3811,2016-07-21,Dick Donnelly,74,Scottish footballer and journalist.,,,
3812,2016-07-21,Adolph Bachmeier,78,Romanian-born American footballer.,,,
3813,2016-07-21,Don Soderquist,82,American executive (Walmart).,,,
3814,2016-07-21,Chor Yeok Eng,86,"Singaporean politician, MP for Bukit Timah (1966–1984)",,,
3815,2016-07-21,William F. Hickey Jr.,87,"American politician, member of the Connecticut Senate (1960–1970), mayor of Stamford (1963).",,,
3816,2016-07-21,Amnon Linn,92,"Israeli politician, member of the Knesset (1967–1969, 1973–1988).",,,
3817,2016-07-21,Luc Hoffmann,93,"Swiss ornithologist and conservationist, co-founder of the World Wildlife Fund",,,
3818,2016-07-21,Molly Turner,93,American news anchor (WPLG).,,,
3819,2016-07-21,Bernard Dufour,93,French painter.,,,
3820,2016-07-21,Joy Hardon,94,Australian Olympic fencer (1956).,,,
3821,2016-07-21,Iwo Cyprian Pogonowski,94,Polish writer and inventor.,,,
3822,2016-07-21,Sid Hurst,97,"New Zealand farmer, chairman of Lincoln College Council (1980–1985)",,,
3823,2016-07-22,Luo Yinguo,62,Chinese politician, cancer,,
3824,2016-07-22,Julius Freeman,89,"American fighter pilot (Tuskegee Airmen), recipient of the Congressional Gold Medal", heart attack,,
3825,2016-07-22,Dominic Duval,71,American free jazz bassist, lymphoma,,
3826,2016-07-22,Charles Brantley,91,American horse breeder.,,,
3827,2016-07-22,Geir Myhre,62,Norwegian ice hockey player and coach (national team).,,,
3828,2016-07-22,Viktor Kryzhanivskyi,66,Ukrainian painter and artist.,,,
3829,2016-07-22,Jouko Turkka,74,Finnish theatre director and writer.,,,
3830,2016-07-22,Leyla Sayar,76,Turkish actress.,,,
3831,2016-07-22,Chen Da,79,"Chinese nuclear scientist, educator and academician (Chinese Academy of Sciences)",,,
3832,2016-07-22,Zeke Smith,79,American football player (Auburn Tigers).,,,
3833,2016-07-22,Sir David Goodall,84,"British diplomat, High Commissioner to India (1987–1991)",,,
3834,2016-07-22,Lee Grant,84,British-born New Zealand actress.,,,
3835,2016-07-22,Franca Faldini,85,"Italian writer and actress (Where Is Freedom?, Poverty and Nobility, Man, Beast and Virtue)",,,
3836,2016-07-22,Thomas Sutherland,85,Scottish-born American academic and Islamic jihad hostage.,,,
3837,2016-07-22,Joe Derrane,86,American accordion player.,,,
3838,2016-07-22,Evin Nolan,86,Irish painter.,,,
3839,2016-07-22,Norma Levy Shapiro,87,"American judge, member of the US District Court for Eastern Pennsylvania (since 1978)",,,
3840,2016-07-22,Samane Viyaket,89,Laotian politician.,,,
3841,2016-07-22,Ursula Franklin,94,German-born Canadian scientist and academic (University of Toronto).,,,
3842,2016-07-22,Betty Guy,95,American watercolor artist.,,,
3843,2016-07-22,Dave Bald Eagle,97,American Lakota Chief and actor.,,,
3844,2016-07-22,Geraldine Branch,107,American gynecologist.,,,
3845,2016-07-22,Shawshank tree, c. 180,North American white oak featured in The Shawshank Redemption.,,,
3846,2016-07-23,Joe Napolitano,67,"American television director (Quantum Leap, The X-Files) and assistant director (The Untouchables, Scarface)", cancer,,
3847,2016-07-23,Kate Granger,34,British physician and fundraiser, desmoplastic small-round-cell tumor,,
3848,2016-07-23,Bill Cotty,69,"American politician, member of the South Carolina House of Representatives (1994–2008)", lung cancer,,
3849,2016-07-23,Sheilla Lampkin,70,"American politician, member of the Arkansas House of Representatives (since 2011)", ovarian cancer,,
3850,2016-07-23,Harold Duane Vietor,85,"American judge, member of the US District Court for Southern Iowa (1979–2016)", stroke,,
3851,2016-07-23,Mari Gilbert,52,American activist.,stabbed,,
3852,2016-07-23,Jean Ricardou,84,French writer.,,,
3853,2016-07-23,Kantilal Desai,84,Indian cricketer.,,,
3854,2016-07-23,S. H. Raza,94,Indian artist.,,,
3855,2016-07-23,Boy-Boy Mosia,31,"South African footballer (Juventus, Chelsea, AmaZulu).",,,
3856,2016-07-23,Małgorzata Bartyzel,60,"Polish politician, member of the Sejm for Łódź (2005–2007)",,,
3857,2016-07-23,Neelabh Ashk,70,Indian Hindi poet.,,,
3858,2016-07-23,Peter Wenger,72,Swiss footballer.,,,
3859,2016-07-23,Alan Goldberg,75,"Australian jurist, Judge of the Federal Court (1997–2010)",,,
3860,2016-07-23,Denis Foreman,83,South African-born English cricketer (Sussex) and footballer (Brighton & Hove Albion).,,,
3861,2016-07-23,Mangala Moonesinghe,84,"Sri Lankan politician and diplomat, High Commissioner to the UK (2000–2002) and India (1995–2000, 2002–2005).",,,
3862,2016-07-23,Thorbjörn Fälldin,90,"Swedish politician, Prime Minister (1976–1978, 1979–1982).",,,
3863,2016-07-23,Alina Surmacka Szczesniak,91,Polish-born American food scientist.,,,
3864,2016-07-23,Carl Falck,109,"Norwegian businessman, nation's oldest living man",,,
3865,2016-07-24,Marni Nixon,86,"American singer (The King and I, West Side Story, My Fair Lady) and actress (The Sound of Music)", breast cancer,,
3866,2016-07-24,Frank Hodsoll,78,American art historian, cancer,,
3867,2016-07-24,Conrad Prebys,82,American philanthropist, cancer,,
3868,2016-07-24,Marto Gracias,75,"Indian footballer (national team, Salgaocar)", heart attack,,
3869,2016-07-24,Chris Costner Sizemore,89,"American writer, subject of The Three Faces of Eve", heart attack,,
3870,2016-07-24,Don Roberts,83,American ice hockey coach (Gustavus Adolphus College), heart disease,,
3871,2016-07-24,Alastair Duncan,63,"British army officer, Chief of Staff for UNAMSIL (2001)", perforated ulcer,,
3872,2016-07-24,Keith Gemmell,68,"British musician (Audience, Stackridge, Pasadena Roof Orchestra)", throat cancer,,
3873,2016-07-24,Bohuslav Kokotek,67,Czech Lutheran clergyman and politician.,,,
3874,2016-07-24,Håkon Fimland,72,Norwegian hurdler and politician.,,,
3875,2016-07-24,Orest Subtelny,75,Ukrainian-born Canadian historian.,,,
3876,2016-07-24,Ian King,79,Scottish footballer (Leicester City F.C.).,,,
3877,2016-07-24,Eliza Lawrence,80,"Canadian politician, MLA from the Northwest Territories (1983–1987)",,,
3878,2016-07-24,Tom Clegg,81,British television and film director.,,,
3879,2016-07-24,Bishnodat Persaud,82,Guyanese economist.,,,
3880,2016-07-24,Horacio Olivo,83,Puerto Rican actor and singer.,,,
3881,2016-07-24,Parwati Soepangat,84,Indonesian Buddhist leader.,,,
3882,2016-07-24,Abe Goldberg,87,Polish-born Australian executive.,,,
3883,2016-07-24,Jan Kmenta,88,Czech-American econometrician.,,,
3884,2016-07-24,Steve Nagy,97,"American baseball player (Pittsburgh Pirates, Washington Senators)",,,
3885,2016-07-24,Mangal Bagh, 42–43,Pakistani militant leader (Lashkar-e-Islam),,,
3886,2016-07-25,Mollie Lowery,70,American advocate for the homeless and mentally ill, cancer,,
3887,2016-07-25,Jerzy Bahr,72,"Polish diplomat, Ambassador to Russia (2006–2010) and Ukraine (1997–2001), Director of the National Security Bureau (2005)", cancer,,
3888,2016-07-25,Arundhati Ghose,76,"Indian diplomat, ambassador to the UN-Geneva, South Korea and Egypt", cancer,,
3889,2016-07-25,Eric Kuhne,64,American-born British architect, heart attack,,
3890,2016-07-25,Halil İnalcık,100,Turkish historian, multiple organ failure,,
3891,2016-07-25,Tom Peterson,86,American retailer and television personality, Parkinson's disease,,
3892,2016-07-25,Tim LaHaye,90,American Christian author (Left Behind), stroke,,
3893,2016-07-25,Artur Correia,66,"Portuguese footballer (Benfica, Sporting, national team)", stroke,,
3894,2016-07-25,Dwight Jones,64,"American basketball player (Atlanta Hawks, Chicago Bulls, Houston Rockets), Olympic silver medalist (1972).",,,
3895,2016-07-25,Brenda Banks,66,American archivist.,,,
3896,2016-07-25,Allan Barnes,66,American jazz saxophonist (The Blackbyrds).,,,
3897,2016-07-25,Franklin Van Antwerpen,74,"American judge, member of the United States Court of Appeals for the Third Circuit (since 2004)",,,
3898,2016-07-25,Daphne Ceeney,82,"Australian paraplegic athlete, Paralympic champion (1960, 1964).",,,
3899,2016-07-25,Pierre Fauchon,87,"French politician, member of the Senate for Loir-et-Cher (1992–2011)",,,
3900,2016-07-25,Slobodan Novak,91,Croatian writer.,,,
3901,2016-07-25,Bülent Eken,92,Turkish football player (Galatasaray) and coach (national team).,,,
3902,2016-07-25,James M. Nederlander,94,American Broadway theater owner and producer (Nederlander Organization).,,,
3903,2016-07-25,Edward Gopsill,94,British army officer.,,,
3904,2016-07-25,J. Harwood Cochrane,103,"American transportation executive, founder of Overnite Transportation",,,
3905,2016-07-26,Denis Dubourdieu,67,French winemaker, brain cancer,,
3906,2016-07-26,Dave Syrett,60,"English footballer (Swindon, Mansfield, Peterborough)", brain tumour,,
3907,2016-07-26,Per G. Malm,67,"Swedish missionary, general authority of The Church of Jesus Christ of Latter-day Saints", cancer,,
3908,2016-07-26,David A. Katz,82,"American judge, member of the US District Court for Northern Ohio (since 1994)", cancer,,
3909,2016-07-26,Hiroko Nakamura,72,Japanese classical pianist, colon cancer,,
3910,2016-07-26,Forrest Mars Jr.,84,"American billionaire businessman (Mars, Incorporated)", heart attack,,
3911,2016-07-26,Miss Cleo (Youree Dell Harris),53,American television psychic, metastatic colon cancer,,
3912,2016-07-26,Charles Bilezikian,79,"American retail executive, co-founder of Christmas Tree Shops", pancreatic cancer,,
