index,date of death,name,age,bio,cause of death,Unnamed: 5,Unnamed: 6
117,2016-01-05,Hanna-Marie Weydahl,93,Norwegian pianist.,,,
118,2016-01-05,Keith Thiele,94,New Zealand WW2 pilot.,,,
119,2016-01-06,"Pat Harrington, Jr",86,"American actor (One Day at a Time, Captain Caveman and the Teen Angels, The Inspector)", complications from a fall and Alzheimer's disease,,
120,2016-01-06,Nivaria Tejera,86,Cuban poet and novelist, pancreatic cancer,,
121,2016-01-06,"Alfredo ""Chocolate"" Armenteros",87,Cuban trumpeter, prostate cancer,,
122,2016-01-06,Christy O'Connor Jnr,67,Irish golfer.,,,
123,2016-01-06,Florence King,80,American writer.,,,
124,2016-01-06,Labhshankar Thakar,80,Indian author.,,,
125,2016-01-06,Serena Sinclair Lesley,89,American journalist.,,,
126,2016-01-06,Robert D. Timm,94,American politician.,,,
127,2016-01-06,Qian Min,100,Chinese politician.,,,
128,2016-01-06,Sol Polansky,89,"American diplomat, Ambassador to Bulgaria (1987–1990)",,,
129,2016-01-06,Zbigniew Zychowicz,62,"Polish politician, Marshal of West Pomeranian Voivodeship (1999–2000)",,,
130,2016-01-06,Robert D. Acland,74,American surgeon (Acland's Video Atlas of Human Anatomy).,,,
131,2016-01-06,Maliheh Afnan,81,Palestinian-born artist.,,,
132,2016-01-06,Ioannis Petridis,84,"Greek politician, MP for Pieria (1985–1989)",,,
133,2016-01-06,Hayes McClerkin,84,"American lawyer and politician, Speaker at the Arkansas House of Representatives (1969–1970)",,,
134,2016-01-06,Marion Studholme,88,English soprano and music teacher.,,,
135,2016-01-06,Silvana Pampanini,90,"Italian actress (The Road a Year Long, The City Stands Trial, A Husband for Anna).",,,
136,2016-01-06,Douglas Greer,94,American actor (Our Gang).,,,
137,2016-01-06,Yves Vincent,94,French actor.,,,
138,2016-01-07,Sir Christopher Wallace,73,"British army general, Commandant Royal College of Defence Studies (2001–2005)", amyloidosis,,
139,2016-01-07,Yeow Chai Thiam,62,Malaysian politician, cancer,,
140,2016-01-07,Judith Kaye,77,"American lawyer, Chief Judge of the New York Court of Appeals (1993–2008)", cancer,,
141,2016-01-07,Richard Libertini,82,"American actor (Fletch, All of Me, Popeye)", cancer,,
142,2016-01-07,Sergei Simonov,23,Russian ice hockey player (HC Lipetsk), complications after spleen surgery,,
143,2016-01-07,Troy Shondell,76,American singer, complications from Alzheimer's disease and Parkinson's disease,,
144,2016-01-07,Anton Srholec,86,Slovak writer and priest, lung cancer,,
145,2016-01-07,Mufti Mohammad Sayeed,79,"Indian politician, Chief Minister of Jammu and Kashmir (2002–2005, since 2015), Minister of Home Affairs (1989–1990)", multiple organ failure,,
146,2016-01-07,Jesús María Ramón Valdés,77,Mexican politician.,,,
147,2016-01-07,Michael J. Egan,89,American politician.,,,
148,2016-01-07,André Courrèges,92,French fashion designer.,,,
149,2016-01-07,Patrick Connolly, 88–89,"Irish lawyer, Attorney General (1982)",,,
150,2016-01-07,Sergey Shustikov,45,Russian football player (Torpedo Moscow) and manager (Solyaris Moscow).,,,
151,2016-01-07,Jit Samaroo,65,Trinidadian Steelpan musician and arranger.,,,
152,2016-01-07,John Johnson,68,"American basketball player (Cleveland Cavaliers, Houston Rockets, Seattle SuperSonics), NBA Champion (1979).",,,
153,2016-01-07,Cristian Moisescu,68,"Romanian politician, Mayor of Arad (1992–1996)",,,
154,2016-01-07,István Komáromi,72,"Hungarian politician, MP (1994–1998)",,,
155,2016-01-07,William H. O'Dell,77,"American politician, member of the South Carolina Senate (since 1989)",,,
156,2016-01-07,Valerio Zanone,79,"Italian politician, Secretary of Italian Liberal Party (1976–1985) and Mayor of Turin (1990–1991)",,,
157,2016-01-07,Alan Haven,80,English jazz organist.,,,
158,2016-01-07,Alwin Albert Hafner,85,Malagasy Roman Catholic prelate,,,
159,2016-01-07,Bill Foster,86,"American college basketball coach (Rutgers, Utah, Duke, South Carolina).",,,
160,2016-01-07,Hansrudi Wäscher,87,German comics artist.,,,
161,2016-01-07,Robert Goossens,88,French jeweller.,,,
162,2016-01-07,Anna Synodinou,88,Greek politician and actress (The 300 Spartans).,,,
163,2016-01-07,Houshang Ostovar,88,Iranian composer.,,,
164,2016-01-07,Robert M. Cundick,89,American organist and composer.,,,
165,2016-01-07,Paddy Doherty,89,Northern Irish civil rights activist.,,,
166,2016-01-07,Joaquín Gamboa Pascoe,93,Mexican trade union leader and politician.,,,
167,2016-01-07,Brahim Chergui,94,Algerian militant.,,,
168,2016-01-07,Kitty Kallen,94,"American singer (""Little Things Mean a Lot"").",,,
169,2016-01-07,Ashraf Pahlavi,96,"Persian princess, President of the Women's Organization of Iran (1967–1979)",,,
170,2016-01-07,János György Szilágyi,97,Hungarian historian.,,,
171,2016-01-08,German Moreno,82,"Philippine television host (That's Entertainment, Walang Tulugan with the Master Showman, GMA Supershow) and actor", cardiac arrest,,
172,2016-01-08,Red Simpson,81,"American country singer-songwriter (""I'm a Truck"")", complications from a heart attack,,
173,2016-01-08,Royal Parker,86,American television personality, heart failure,,
174,2016-01-08,Otis Clay,73,"American R&B and soul singer (""Tryin' to Live My Life Without You"", ""The Only Way Is Up"")",heart attack,,
175,2016-01-08,Brett Smiley,60,American singer-songwriter.,,,
176,2016-01-08,Oscar Fritschi,76,Swiss politician.,,,
177,2016-01-08,Carlos Milcíades Villalba Aquino,91,Paraguayan Roman Catholic prelate,,,
178,2016-01-08,Gunaram Khanikar,66,Indian herbalist.,,,
179,2016-01-08,Hamdy Ahmed,82,"Egyptian actor (Al-Kahira 30, Al-Ard, Al Asfour).",,,
180,2016-01-08,Diana Mitchell,83,Zimbabwean political activist and writer.,,,
181,2016-01-08,M. O. Joseph,86,Indian film producer.,,,
182,2016-01-08,Maria Teresa de Filippis,89,"Italian racing driver, first woman to race in Formula One (Maserati, Behra-Porsche).",,,
183,2016-01-08,Piet Steenkamp,90,"Dutch politician, President of the Senate (1983–1991)",,,
184,2016-01-08,Medea Jugeli,90,"Georgian gymnast, Olympic champion (1952)",,,
185,2016-01-08,Paddy Reid,91,Irish rugby union and league player.,,,
186,2016-01-08,Alessandro Ghinami,92,"Italian politician, President of Sardinia (1979–1980)",,,
187,2016-01-08,Ida Gaskin,96,Welsh-born New Zealand teacher and quiz show contestant.,,,
188,2016-01-09,Lance Rautzhan,63,"American baseball player (Los Angeles Dodgers, Milwaukee Brewers)", cancer,,
189,2016-01-09,Gareth Hoskins,48,Scottish architect, complications of a heart attack,,
190,2016-01-09,Cielito del Mundo,80,"Filipino singer, actress and politician", heart attack,,
191,2016-01-09,José María Rivas,57,Salvadoran footballer (national team), leukemia,,
192,2016-01-09,Beau St. Clair,63,"American film producer (The Thomas Crown Affair, The November Man, Laws of Attraction)", ovarian cancer,,
193,2016-01-09,Myra Carter,86,"American actress (Three Tall Women, 8mm)", pneumonia,,
194,2016-01-09,Lawrence H. Cohn,78,American surgeon, stroke,,
195,2016-01-09,Ed Stewart,74,"British TV and radio broadcaster (Top of the Pops, Crackerjack)", stroke,,
196,2016-01-09,Merab Chigoev,65,"South Ossetian politician, Prime Minister (1998–2001)", traffic collision,,
197,2016-01-09,St Jovite,26,"American-bred Irish-trained racehorse, winner of the 1992 Irish Derby and King George VI and Queen Elizabeth Stakes",,,
198,2016-01-09,Peter Gavin Hall,64,Australian statistician.,,,
199,2016-01-09,Vicente Troudart,64,Panamanian baseball umpire.,,,
200,2016-01-09,Zelimkhan Yaqub,65,Azerbaijani poet.,,,
201,2016-01-09,Peggy Willis-Aarnio,67,American ballet choreographer.,,,
202,2016-01-09,Hamada Emam,68,Egyptian footballer (Zamalek SC).,,,
203,2016-01-09,Mike McGinnity,74,English football chairman (Coventry City).,,,
204,2016-01-09,Barbara Allyne Bennet,76,"American actress (Mac and Me, The Office)",,,
205,2016-01-09,John Harvard,77,"Canadian politician, Lieutenant Governor of Manitoba (2004–2009)",,,
206,2016-01-09,Gianni Rondolino,83,"Italian film critic and historian, founder of the Turin Film Festival",,,
207,2016-01-09,Angus Scrimm,89,"American actor (Phantasm, Alias, John Dies at the End).",,,
208,2016-01-09,Robert Naegele,90,"German actor (The NeverEnding Story II, The Old Fox, Waller's Last Trip).",,,
209,2016-01-09,Umberto Raho,93,"Italian actor (The Bird with the Crystal Plumage, The Last Man on Earth, Superfantagenio).",,,
210,2016-01-09,Paul-Marie François Rousset,94,French Roman Catholic prelate,,,
211,2016-01-09,Johnny Jordan,94,English footballer (Tonbridge).,,,
212,2016-01-10,Jeanne Córdova,67,German-born American LGBT activist, brain cancer,,
213,2016-01-10,Bård Breivik,67,Norwegian sculptor, cancer,,
214,2016-01-10,Hernán Gamboa,69,Venezuelan musician (Serenata Guayanesa), cancer,,
215,2016-01-10,Arthur S. Obermayer,84,American entrepreneur and philanthropist, cancer,,
216,2016-01-10,Ulrich Hahnen,63,"German politician, Deputy of the Landtag of North Rhine-Westphalia (since 2010)", cancer,,
217,2016-01-10,Ann Z. Caracristi,94,"American cryptographer, Deputy Director of the NSA (1980–1982)", complications from dementia,,
218,2016-01-10,George Jonas,80,Hungarian-born Canadian writer, Parkinson's disease,,
219,2016-01-10,Michael Galeota,31,American actor (The Jersey).,heart faiulre,,
220,2016-01-10,David Bowie,69,"English singer-songwriter, musician (""Space Oddity"", ""Heroes"", ""Starman"") and actor (Labyrinth, Zoolander).",liver cancer,,
221,2016-01-10,Wim Bleijenberg,85,"Dutch footballer (Ajax, national team)",,,
222,2016-01-10,Carolyn Denning,88,American pediatrician.,,,
223,2016-01-10,Alton Brown,90,American baseball player (Washington Senators).,,,
224,2016-01-10,Connie Mhone,47,Malawian netball player and coach.,,,
225,2016-01-10,Abbas Bahri,61,Tunisian mathematician and professor (Rutgers University).,,,
